Index,Hogwarts House
122,Hufflepuff
123,Hufflepuff
124,Hufflepuff
125,Gryffindor
126,Gryffindor
127,Ravenclaw
128,Ravenclaw
129,Gryffindor
130,Hufflepuff
131,Slytherin
132,Ravenclaw
133,Hufflepuff
134,Hufflepuff
135,Hufflepuff
136,Ravenclaw
137,Slytherin
138,Hufflepuff
139,Hufflepuff
140,Hufflepuff
141,Gryffindor
142,Hufflepuff
143,Hufflepuff
144,Slytherin
145,Hufflepuff
146,Gryffindor
147,Hufflepuff
148,Hufflepuff
149,Slytherin
150,Ravenclaw
151,Gryffindor
152,Slytherin
153,Gryffindor
154,Gryffindor
155,Hufflepuff
156,Ravenclaw
157,Hufflepuff
158,Slytherin
159,Gryffindor
160,Hufflepuff
161,Gryffindor
162,Ravenclaw
163,Ravenclaw
164,Hufflepuff
165,Ravenclaw
166,Hufflepuff
167,Gryffindor
168,Gryffindor
169,Hufflepuff
170,Ravenclaw
171,Hufflepuff
172,Gryffindor
173,Slytherin
174,Ravenclaw
175,Hufflepuff
176,Gryffindor
177,Gryffindor
178,Hufflepuff
179,Slytherin
180,Ravenclaw
181,Slytherin
182,Slytherin
183,Hufflepuff
184,Hufflepuff
185,Gryffindor
186,Gryffindor
187,Gryffindor
188,Gryffindor
189,Hufflepuff
190,Hufflepuff
191,Gryffindor
192,Ravenclaw
193,Ravenclaw
194,Ravenclaw
195,Hufflepuff
196,Hufflepuff
197,Gryffindor
198,Slytherin
199,Ravenclaw
200,Hufflepuff
201,Hufflepuff
202,Hufflepuff
203,Slytherin
204,Gryffindor
205,Hufflepuff
206,Gryffindor
207,Hufflepuff
208,Hufflepuff
209,Gryffindor
210,Gryffindor
211,Ravenclaw
212,Ravenclaw
213,Hufflepuff
214,Slytherin
215,Hufflepuff
216,Ravenclaw
217,Ravenclaw
218,Hufflepuff
219,Ravenclaw
220,Hufflepuff
221,Ravenclaw
222,Ravenclaw
223,Ravenclaw
224,Hufflepuff
225,Hufflepuff
226,Ravenclaw
227,Ravenclaw
228,Hufflepuff
229,Slytherin
230,Ravenclaw
231,Gryffindor
232,Ravenclaw
233,Hufflepuff
234,Gryffindor
235,Gryffindor
236,Hufflepuff
237,Hufflepuff
238,Hufflepuff
239,Hufflepuff
240,Ravenclaw
241,Ravenclaw
242,Gryffindor
243,Gryffindor
244,Ravenclaw
245,Hufflepuff
246,Slytherin
247,Hufflepuff
248,Hufflepuff
249,Hufflepuff
250,Hufflepuff
251,Hufflepuff
252,Hufflepuff
253,Slytherin
254,Hufflepuff
255,Ravenclaw
256,Hufflepuff
257,Hufflepuff
258,Hufflepuff
259,Hufflepuff
260,Gryffindor
261,Ravenclaw
262,Ravenclaw
263,Slytherin
264,Slytherin
265,Ravenclaw
266,Ravenclaw
267,Slytherin
268,Ravenclaw
269,Slytherin
270,Slytherin
271,Gryffindor
272,Ravenclaw
273,Hufflepuff
274,Ravenclaw
275,Ravenclaw
276,Hufflepuff
277,Ravenclaw
278,Hufflepuff
279,Hufflepuff
280,Hufflepuff
281,Slytherin
282,Ravenclaw
283,Gryffindor
284,Hufflepuff
285,Hufflepuff
286,Ravenclaw
287,Ravenclaw
288,Slytherin
289,Slytherin
290,Gryffindor
291,Hufflepuff
292,Ravenclaw
293,Hufflepuff
294,Hufflepuff
295,Gryffindor
296,Hufflepuff
297,Ravenclaw
298,Gryffindor
299,Gryffindor
300,Ravenclaw
301,Hufflepuff
302,Gryffindor
303,Hufflepuff
304,Gryffindor
305,Hufflepuff
306,Gryffindor
307,Gryffindor
308,Ravenclaw
309,Hufflepuff
310,Ravenclaw
311,Slytherin
312,Slytherin
313,Gryffindor
314,Hufflepuff
315,Gryffindor
316,Gryffindor
317,Gryffindor
318,Gryffindor
319,Ravenclaw
320,Ravenclaw
321,Hufflepuff
322,Ravenclaw
323,Slytherin
324,Hufflepuff
325,Ravenclaw
326,Slytherin
327,Hufflepuff
328,Hufflepuff
329,Ravenclaw
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
